index,event,date,team,opponent,team-rank,opponent-ranking,result,team_map_wr,team_average_age
3722,Ace North American Masters Spring 2022 - BLAST Premier Qualifier,2022-04-04,pain,counter nature,14,-1,W,69.66666666666667,22.0
3723,ESL Challenger League Season 40 North America,2022-04-04,mibr,carpe diem,27,-1,W,64.66666666666667,23.5
3724,ESL Pro League Season 15,2022-04-03,astralis,complexity,25,13,W,60.333333333333336,22.6
3725,ESL Pro League Season 15,2022-04-03,heroic,natus vincere,11,2,L,58.166666666666664,24.2
3726,Tipsport Bratislava Cup 2022,2022-04-03,apeks,sinners,20,-1,W,39.166666666666664,25.7
3727,ESL Challenger League Season 40 North America,2022-04-03,pain,carpe diem,14,-1,L,69.66666666666667,22.0
3728,ESL Pro League Season 15,2022-04-02,astralis,natus vincere,25,2,L,60.333333333333336,22.6
3729,ESL Challenger League Season 40 Europe,2022-04-02,saw,heet,17,-1,L,70.0,26.1
3730,ESL Pro League Season 15,2022-04-02,complexity,evil geniuses,13,-1,W,41.0,24.6
3731,Tipsport Bratislava Cup 2022,2022-04-02,apeks,esuba,20,-1,W,39.166666666666664,25.7
3732,ESL Pro League Season 15,2022-04-02,heroic,ago,11,-1,W,58.166666666666664,24.2
3733,ESL Pro League Season 15,2022-04-01,natus vincere,complexity,2,13,W,67.66666666666667,23.4
3734,ESL Pro League Season 15,2022-04-01,heroic,evil geniuses,11,-1,W,58.166666666666664,24.2
3735,ESL Challenger League Season 40 Asia-Pacific,2022-04-01,themongolz,ihc,16,-1,L,71.33333333333333,19.6
3736,ESL Pro League Season 15,2022-04-01,astralis,ago,25,-1,W,60.333333333333336,22.6
3737,ESL Challenger League Season 40 North America,2022-04-01,pain,mibr,14,27,L,69.66666666666667,22.0
3738,ESL Pro League Season 15,2022-03-31,natus vincere,evil geniuses,2,-1,W,67.66666666666667,23.4
3739,ESL Challenger League Season 40 Europe,2022-03-31,falcons,wisla krakow,10,-1,L,44.166666666666664,28.4
3740,ESL Challenger League Season 40 Europe,2022-03-31,heet,ecstatic,-1,18,W,44.166666666666664,28.4
3741,ESL Challenger League Season 40 Europe,2022-03-31,saw,1win,17,-1,L,70.0,26.1
3742,ESL Pro League Season 15,2022-03-31,heroic,astralis,11,25,W,58.166666666666664,24.2
3743,ESL Pro League Season 15,2022-03-31,ago,complexity,-1,13,W,58.166666666666664,24.2
3744,ESL Challenger League Season 40 Asia-Pacific,2022-03-31,themongolz,catevil,16,-1,W,71.33333333333333,19.6
3745,ESL Challenger League Season 40 North America,2022-03-31,carpe diem,mibr,-1,27,L,32.42857142857143,21.9
3746,ESL Challenger League Season 40 North America,2022-03-31,strife,pain,-1,14,L,75.0,23.3
3747,ESL Challenger League Season 40 Europe,2022-03-31,entropiq,ecstatic,-1,18,L,75.0,23.3
3748,Tipsport Bratislava Cup 2022,2022-03-30,enterprise,apeks,-1,20,L,36.0,22.8
3749,ESL Challenger League Season 40 Europe,2022-03-30,saw,falcons,17,10,W,70.0,26.1
3750,ESL Pro League Season 15,2022-03-30,astralis,evil geniuses,25,-1,W,60.333333333333336,22.6
3751,ESL Pro League Season 15,2022-03-30,complexity,heroic,13,11,L,41.0,24.6
3752,Tipsport Bratislava Cup 2022,2022-03-30,apeks,eclot,20,-1,W,39.166666666666664,25.7
3753,ESL Pro League Season 15,2022-03-30,natus vincere,ago,2,-1,W,67.66666666666667,23.4
3754,ESL Challenger League Season 40 Asia-Pacific,2022-03-30,themongolz,rare atom,16,-1,L,71.33333333333333,19.6
3755,ESL Challenger League Season 40 North America,2022-03-30,orgless,mibr,-1,27,L,71.33333333333333,19.6
3756,ESL Challenger League Season 40 North America,2022-03-30,pain,party astronauts,14,-1,W,69.66666666666667,22.0
3757,ESL Challenger League Season 40 Europe,2022-03-29,entropiq,saw,-1,17,L,69.66666666666667,22.0
3758,ESL Challenger League Season 40 Europe,2022-03-29,ecstatic,falcons,18,10,L,63.833333333333336,23.4
3759,ESL Challenger League Season 40 Asia-Pacific,2022-03-29,nkt,themongolz,-1,16,L,41.2,23.2
3760,Thunderpick Bitcoin Series 1,2022-03-29,k23,ecstatic,-1,18,W,41.2,23.2
3761,Pinnacle Cup III,2022-03-28,vitality,skade,4,-1,L,59.0,24.9
3762,Pinnacle Cup III,2022-03-28,ence,copenhagen flames,12,-1,L,50.5,25.6
3763,Pinnacle Cup III,2022-03-28,ecstatic,tricked,18,-1,L,63.833333333333336,23.4
3764,ESEA Spring 2022 Cash Cup 1 North America,2022-03-28,mibr,pain,27,14,W,64.66666666666667,23.5
3765,ESEA Spring 2022 Cash Cup 1 North America,2022-03-28,pain,carpe diem,14,-1,W,69.66666666666667,22.0
3766,ESEA Spring 2022 Cash Cup 1 North America,2022-03-28,mibr,orgless,27,-1,W,64.66666666666667,23.5
3767,ESL Pro League Season 15,2022-03-27,movistar riders,party astronauts,-1,-1,W,57.833333333333336,25.7
3768,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-27,apeks,ence,20,12,L,39.166666666666664,25.7
3769,ESL Pro League Season 15,2022-03-27,big,godsent,-1,-1,W,43.0,24.7
3770,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-27,ungentium,ence,-1,12,L,43.0,24.7
3771,OMEN WGR European Challenge 2022,2022-03-27,imperial,falcons,19,10,W,70.66666666666667,24.0
3772,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-27,apeks,heet,20,-1,W,39.166666666666664,25.7
3773,Pinnacle Cup III,2022-03-27,bluejays,gamerlegion,-1,21,W,39.166666666666664,25.7
3774,ESEA Spring 2022 Cash Cup 1 North America,2022-03-27,mibr,gaimin gladiators,27,-1,W,64.66666666666667,23.5
3775,ESEA Spring 2022 Cash Cup 1 North America,2022-03-27,strife,pain,-1,14,L,75.0,23.3
3776,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-26,ence,fnatic,12,-1,W,50.5,25.6
3777,OMEN WGR European Challenge 2022,2022-03-26,falcons,saw,10,17,W,44.166666666666664,28.4
3778,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-26,ence,pact,12,-1,W,50.5,25.6
3779,OMEN WGR European Challenge 2022,2022-03-26,masonic,imperial,-1,19,L,50.5,25.6
3780,ESL Pro League Season 15,2022-03-26,big,movistar riders,-1,-1,L,43.0,24.7
3781,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-25,apeks,ungentium,20,-1,W,39.166666666666664,25.7
3782,ESL Pro League Season 15,2022-03-25,liquid,movistar riders,-1,-1,L,66.16666666666667,25.2
3783,OMEN WGR European Challenge 2022,2022-03-25,saw,imperial,17,19,W,70.0,26.1
3784,OMEN WGR European Challenge 2022,2022-03-25,saw,offset,17,-1,W,70.0,26.1
3785,FantasyExpo EU Champions Spring 2022 - BLAST Premier Qualifier,2022-03-25,apeks,ec brugge,20,-1,W,39.166666666666664,25.7
3786,OMEN WGR European Challenge 2022,2022-03-25,mouz nxt,imperial,-1,19,L,59.833333333333336,17.4
3787,OMEN WGR European Challenge 2022,2022-03-25,saw,mouz nxt,17,-1,W,70.0,26.1
3788,ESL Pro League Season 15,2022-03-25,big,players,-1,-1,L,43.0,24.7
3789,OMEN WGR European Challenge 2022,2022-03-25,offset,imperial,-1,19,L,43.0,24.7
3790,Pinnacle Cup III,2022-03-25,anonymo,gamerlegion,-1,21,L,43.0,24.7
3791,OMEN WGR European Challenge 2022,2022-03-24,masonic,falcons,-1,10,W,43.0,24.7
3792,ESL Pro League Season 15,2022-03-24,big,party astronauts,-1,-1,W,43.0,24.7
3793,OMEN WGR European Challenge 2022,2022-03-24,ftw,falcons,-1,10,L,43.0,24.7
3794,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier,2022-03-24,ence,mad lions,12,-1,W,50.5,25.6
3795,ESL Pro League Season 15,2022-03-24,players,movistar riders,-1,-1,L,50.5,25.6
3796,OMEN WGR European Challenge 2022,2022-03-24,00nation,falcons,-1,10,L,50.5,25.6
3797,ESL Challenger League Season 40 North America,2022-03-24,x13,mibr,-1,27,L,50.5,25.6
3798,ESL Pro League Season 15,2022-03-23,liquid,big,-1,-1,W,66.16666666666667,25.2
3799,ESL Pro League Season 15,2022-03-23,godsent,movistar riders,-1,-1,L,66.16666666666667,25.2
3800,Pinnacle Cup III,2022-03-23,mad lions,gamerlegion,-1,21,L,66.16666666666667,25.2
3801,Thunderpick Bitcoin Series 1,2022-03-23,ecstatic,entropiq,18,-1,W,63.833333333333336,23.4
3802,ESL Challenger League Season 40 North America,2022-03-23,orgless,pain,-1,14,L,63.833333333333336,23.4
3803,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier,2022-03-22,apeks,ence,20,12,W,39.166666666666664,25.7
3804,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier,2022-03-22,ence,mad lions,12,-1,W,50.5,25.6
3805,FantasyExpo EU Champions Spring 2022 Europe Closed Qualifier,2022-03-22,apeks,wolsung,20,-1,W,39.166666666666664,25.7
3806,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,2022-03-22,d13,themongolz,-1,16,W,39.166666666666664,25.7
3807,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,2022-03-22,themongolz,fyr,16,-1,W,71.33333333333333,19.6
3808,Pinnacle Cup III,2022-03-22,mouz nxt,gamerlegion,-1,21,W,59.833333333333336,17.4
3809,MESA Nomadic Masters Spring 2022 - BLAST Premier Qualifier,2022-03-22,nkt,themongolz,-1,16,W,41.2,23.2
3810,ESEA Winter 2021 Cash Cup 6 North America,2022-03-21,orgless,mibr,-1,27,W,41.2,23.2
3811,ESEA Winter 2021 Cash Cup 6 North America,2022-03-21,valors2,pain,-1,14,L,41.2,23.2
3812,ESEA Winter 2021 Cash Cup 6 North America,2022-03-21,pain,mibr,14,27,L,69.66666666666667,22.0
3813,ESL Pro League Season 15,2022-03-21,ence,sprout,12,-1,W,50.5,25.6
3814,ESL Pro League Season 15,2022-03-20,faze,furia,1,15,W,55.714285714285715,26.6
3815,ESL Pro League Season 15,2022-03-20,vitality,outsiders,4,-1,W,59.0,24.9
3816,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,2022-03-20,skade,eternal fire,-1,8,W,59.0,24.9
3817,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-20,00nation,movistar riders,-1,-1,L,59.0,24.9
3818,ESEA Winter 2021 Cash Cup 6 North America,2022-03-20,pain,teamone,14,-1,W,69.66666666666667,22.0
3819,ESEA Winter 2021 Cash Cup 6 North America,2022-03-20,atk,mibr,-1,27,L,69.66666666666667,22.0
3820,ESL Pro League Season 15,2022-03-19,vitality,faze,4,1,L,59.0,24.9
3821,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-19,saw,movistar riders,17,-1,L,70.0,26.1
3822,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier,2022-03-19,ecstatic,dignitas,18,-1,L,63.833333333333336,23.4
3823,Pinnacle Cup III,2022-03-19,sinners,gamerlegion,-1,21,L,53.5,25.6
3824,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier,2022-03-19,hellslayers,ecstatic,-1,18,W,53.5,25.6
3825,ESL Pro League Season 15,2022-03-19,furia,ence,15,12,W,60.166666666666664,27.1
3826,Pelaajat Nordic Masters Spring 2022 - BLAST Premier Qualifier,2022-03-19,ecstatic,dusty,18,-1,W,63.833333333333336,23.4
3827,ESL Challenger League Season 40 North America,2022-03-19,mibr,teamone,27,-1,W,64.66666666666667,23.5
3828,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,2022-03-19,onyx,eternal fire,-1,8,L,64.66666666666667,23.5
3829,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,2022-03-18,sinners,eternal fire,-1,8,W,53.5,25.6
3830,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-18,movistar riders,rhyno,-1,-1,W,57.833333333333336,25.7
3831,ESL Pro League Season 15,2022-03-18,faze,sprout,1,-1,W,55.714285714285715,26.6
3832,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-18,movistar riders,offset,-1,-1,L,57.833333333333336,25.7
3833,TWR Eastern European Masters Spring 2022 - BLAST Premier Qualifier,2022-03-18,onyx,eternal fire,-1,8,L,57.833333333333336,25.7
3834,ESL Pro League Season 15,2022-03-18,outsiders,ence,-1,12,L,57.833333333333336,25.7
3835,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-18,movistar riders,rhyno,-1,-1,W,57.833333333333336,25.7
3836,ESL Pro League Season 15,2022-03-18,vitality,furia,4,15,L,59.0,24.9
3837,Pinnacle Cup III,2022-03-18,gamerlegion,4glory,21,-1,L,33.57142857142857,22.9
3838,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-18,saw,velox,17,-1,W,70.0,26.1
3839,RTP Arena Spring Cup 2022 - BLAST Premier Qualifier,2022-03-18,saw,gtz,17,-1,W,70.0,26.1
3840,ESL Pro League Season 15,2022-03-17,outsiders,faze,-1,1,W,70.0,26.1
3841,ESL Pro League Season 15,2022-03-17,furia,sprout,15,-1,W,60.166666666666664,27.1
3842,Thunderpick Bitcoin Series 1,2022-03-17,ecstatic,skade,18,-1,W,63.833333333333336,23.4
3843,ESL Pro League Season 15,2022-03-17,vitality,ence,4,12,L,59.0,24.9
3844,ESL Challenger League Season 40 North America,2022-03-17,strife,mibr,-1,27,L,75.0,23.3
3845,ESL Pro League Season 15,2022-03-16,outsiders,furia,-1,15,L,75.0,23.3
3846,Pinnacle Winter Series 3,2022-03-16,heroic,copenhagen flames,11,-1,W,58.166666666666664,24.2
3847,ESL Pro League Season 15,2022-03-16,faze,ence,1,12,L,55.714285714285715,26.6
3848,ESL Pro League Season 15,2022-03-16,vitality,sprout,4,-1,W,59.0,24.9
3849,Pinnacle Winter Series 3,2022-03-16,ecstatic,heroic,18,11,L,63.833333333333336,23.4
3850,ESL Challenger League Season 40 North America,2022-03-16,gaimin gladiators,mibr,-1,27,L,63.833333333333336,23.4
3851,ESL Challenger League Season 40 North America,2022-03-16,third impact,pain,-1,14,L,63.833333333333336,23.4
3852,FantasyExpo EU Champions Spring 2022 France Closed Qualifier,2022-03-15,falcons,heet,10,-1,L,44.166666666666664,28.4
3853,Pinnacle Winter Series 3,2022-03-15,heroic,apeks,11,20,W,58.166666666666664,24.2
3854,Pinnacle Winter Series 3,2022-03-15,ecstatic,ungentium,18,-1,W,63.833333333333336,23.4
3855,Pinnacle Winter Series 3,2022-03-15,copenhagen flames,gamerlegion,-1,21,W,63.833333333333336,23.4
3856,ESL Challenger League Season 40 North America,2022-03-15,party astronauts,mibr,-1,27,L,52.285714285714285,25.5
3857,Pinnacle Winter Series 3,2022-03-14,eternal fire,apeks,8,20,L,59.0,26.5
3858,FantasyExpo EU Champions Spring 2022 France Closed Qualifier,2022-03-14,falcons,ambush,10,-1,W,44.166666666666664,28.4
3859,Thunderpick Bitcoin Series 1,2022-03-14,skade,saw,-1,17,W,44.166666666666664,28.4
3860,Pinnacle Winter Series 3,2022-03-14,endpoint,gamerlegion,-1,21,L,44.142857142857146,0
3861,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 2,2022-03-14,pain,snakes den,14,-1,W,69.66666666666667,22.0
3862,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 2,2022-03-14,pain,evil geniuses,14,-1,L,69.66666666666667,22.0
3863,FiReLEAGUE Latin Power Spring 2022 - BLAST Premier Qualifier,2022-03-14,imperial,sharks,19,-1,L,70.66666666666667,24.0
3864,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 2,2022-03-14,pain,third impact,14,-1,W,69.66666666666667,22.0
3865,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 2,2022-03-13,pain,gaimin gladiators,14,-1,W,69.66666666666667,22.0
3866,ESL Pro League Season 15,2022-03-13,g2,ninjas in pyjamas,5,-1,W,52.0,26.0
3867,ESL Pro League Season 15,2022-03-13,looking for org,mouz,-1,6,L,52.0,26.0
3868,BtcTurk ESA Supremes Spring 2022,2022-03-13,eternal fire,sahangiller,8,-1,W,59.0,26.5
3869,ESL Pro League Season 15,2022-03-13,g2,entropiq,5,-1,L,52.0,26.0
3870,FiReLEAGUE Latin Power Spring 2022 - BLAST Premier Qualifier,2022-03-12,9z,imperial,-1,19,L,61.5,22.6
3871,ESL Pro League Season 15,2022-03-12,fnatic,mouz,-1,6,W,51.714285714285715,24.6
3872,BtcTurk ESA Supremes Spring 2022,2022-03-12,eternal fire,rwc,8,-1,W,59.0,26.5
3873,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 1,2022-03-12,complexity,liquid,13,-1,W,41.0,24.6
3874,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 1,2022-03-12,complexity,bad news bears,13,-1,W,41.0,24.6
3875,FiReLEAGUE Latin Power Spring 2022 - BLAST Premier Qualifier,2022-03-12,imperial,isurus,19,-1,W,70.66666666666667,24.0
3876,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 1,2022-03-12,complexity,atk,13,-1,W,41.0,24.6
3877,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 1,2022-03-11,pain,bad news bears,14,-1,L,69.66666666666667,22.0
3878,FiReLEAGUE Latin Power Spring 2022 - BLAST Premier Qualifier,2022-03-11,sharks,imperial,-1,19,W,52.0,23.0
3879,PGL Major Antwerp 2022 Americas RMR NA Open Qualifier 1,2022-03-11,complexity,omega,13,-1,W,41.0,24.6
3880,ESL Pro League Season 15,2022-03-11,g2,fnatic,5,-1,L,52.0,26.0
3881,BtcTurk ESA Supremes Spring 2022,2022-03-11,eternal fire,last bullets,8,-1,W,59.0,26.5
3882,ESL Pro League Season 15,2022-03-11,ninjas in pyjamas,mouz,-1,6,W,66.83333333333333,0
3883,Pinnacle Winter Series 3,2022-03-11,gamerlegion,eclot,21,-1,W,33.57142857142857,22.9
3884,FiReLEAGUE Latin Power Spring 2022 - BLAST Premier Qualifier,2022-03-11,isurus,imperial,-1,19,L,33.57142857142857,22.9
3885,Pinnacle Winter Series 3,2022-03-10,eternal fire,astralis talent,8,-1,W,59.0,26.5
3886,Pinnacle Winter Series 3,2022-03-10,apeks,wisla krakow,20,-1,W,39.166666666666664,25.7
3887,ESL Pro League Season 15,2022-03-10,mouz,g2,6,5,W,57.5,20.5
3888,Pinnacle Winter Series 3,2022-03-10,gamerlegion,ec brugge,21,-1,W,33.57142857142857,22.9
3889,ESL Challenger League Season 40 North America,2022-03-10,onet4p,pain,-1,14,L,33.57142857142857,22.9
3890,ESL Challenger League Season 40 North America,2022-03-10,mibr,bhop,27,-1,W,64.66666666666667,23.5
3891,ESL Challenger League Season 40 Europe,2022-03-09,saw,skade,17,-1,W,70.0,26.1
3892,Pinnacle Winter Series 3,2022-03-09,mouz nxt,apeks,-1,20,W,59.833333333333336,17.4
3893,ESL Pro League Season 15,2022-03-09,entropiq,mouz,-1,6,W,59.833333333333336,17.4
3894,Pinnacle Winter Series 3,2022-03-09,eternal fire,skade,8,-1,L,59.0,26.5
3895,Pinnacle Winter Series 3,2022-03-09,gamerlegion,ungentium,21,-1,L,33.57142857142857,22.9
3896,ESL Pro League Season 15,2022-03-09,g2,looking for org,5,-1,W,52.0,26.0
3897,ESL Challenger League Season 40 North America,2022-03-09,atk,pain,-1,14,W,52.0,26.0
3898,ESL Challenger League Season 40 North America,2022-03-09,eros,mibr,-1,27,L,52.0,26.0
3899,ESL Challenger League Season 40 Europe,2022-03-08,saw,finest,17,-1,L,70.0,26.1
3900,Pinnacle Winter Series 3,2022-03-08,tricked,apeks,-1,20,L,70.0,26.1
3901,Pinnacle Winter Series 3,2022-03-08,eternal fire,gamerlegion,8,21,W,59.0,26.5
3902,ESL Challenger League Season 40 Europe,2022-03-07,1shot,ecstatic,-1,18,L,59.0,26.5
3903,ESL Challenger League Season 40 Europe,2022-03-07,skade,saw,-1,17,L,59.0,26.5
3904,Pinnacle Winter Series 3,2022-03-07,apeks,alternate attax,20,-1,W,39.166666666666664,25.7
3905,Pinnacle Winter Series 3,2022-03-07,gamerlegion,esuba,21,-1,W,33.57142857142857,22.9
3906,Pinnacle Winter Series 3,2022-03-07,eternal fire,into the breach,8,-1,W,59.0,26.5
3907,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 2,2022-03-07,mibr,são caetano,27,-1,W,64.66666666666667,23.5
3908,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 2,2022-03-07,mibr,isurus,27,-1,W,64.66666666666667,23.5
3909,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-07,eternal fire,sangal,8,-1,W,59.0,26.5
3910,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 2,2022-03-07,mibr,boca juniors,27,-1,W,64.66666666666667,23.5
3911,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,fnatic,gamerlegion,-1,21,L,51.714285714285715,24.6
3912,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,sangal,gamerlegion,-1,21,L,50.5,0
3913,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,eternal fire,fnatic,8,-1,L,59.0,26.5
3914,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,gamerlegion,skade,21,-1,W,33.57142857142857,22.9
3915,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 2,2022-03-06,mibr,made in ukraine,27,-1,W,64.66666666666667,23.5
3916,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,eternal fire,anonymo,8,-1,W,59.0,26.5
3917,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,anonymo,apeks,-1,20,W,59.0,26.5
3918,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,nemiga,eternal fire,-1,8,L,69.5,20.8
3919,PGL Major Antwerp 2022 Europe RMR Open Qualifier 4,2022-03-06,gamerlegion,monke,21,-1,W,33.57142857142857,22.9
3920,Elisa Invitational Winter 2021,2022-03-05,ence,heet,12,-1,L,50.5,25.6
3921,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,2022-03-05,imperial,case,19,-1,L,70.66666666666667,24.0
3922,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,2022-03-05,imperial,9z,19,-1,W,70.66666666666667,24.0
3923,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,2022-03-04,imperial,meta,19,-1,W,70.66666666666667,24.0
3924,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,saw,big,17,-1,L,70.0,26.1
3925,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,big,sprout,-1,-1,W,43.0,24.7
3926,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,2022-03-04,mibr,9z,27,-1,L,64.66666666666667,23.5
3927,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,saw,unique,17,-1,W,70.0,26.1
3928,PGL Major Antwerp 2022 Americas RMR SA Open Qualifier 1,2022-03-04,imperial,totalepro,19,-1,W,70.66666666666667,24.0
3929,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,big,winx,-1,-1,W,43.0,24.7
3930,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,1shot,saw,-1,17,L,43.0,24.7
3931,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,big,mad lions,-1,-1,W,43.0,24.7
3932,PGL Major Antwerp 2022 Europe RMR Open Qualifier 3,2022-03-04,k23,saw,-1,17,L,43.0,24.7
3933,Elisa Invitational Winter 2021,2022-03-04,ence,entropiq,12,-1,W,50.5,25.6
3934,Elisa Invitational Winter 2021,2022-03-04,skade,eternal fire,-1,8,W,50.5,25.6
3935,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,sinners,spirit,-1,3,W,53.5,25.6
3936,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,spirit,endpoint,3,-1,W,74.16666666666667,21.3
3937,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,spirit,strive in chaos,3,-1,W,74.16666666666667,21.3
3938,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,movistar riders,endpoint,-1,-1,L,57.833333333333336,25.7
3939,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,spirit,skade,3,-1,W,74.16666666666667,21.3
3940,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,eternal fire,ftw,8,-1,L,59.0,26.5
3941,PGL Major Antwerp 2022 Europe RMR Open Qualifier 2,2022-03-02,saw,4glory,17,-1,L,70.0,26.1
